source_key,series_id,model_name,brand,price_min_wan,price_max_wan,level_name,body_structure,energy_type,seats,range_km,fuel_consumption,horsepower,model_year,sales,sales_period,trim_count,source_url,options_url,sales_url,captured_at
129626_纯电,129626,阿维塔11 纯电版,阿维塔科技,30.99,42.99,SUV,SUV,纯电,5,,,,2025,133,2026-06,5,https://www.16888.com/129626/,https://www.16888.com/129626/options/,https://xl.16888.com/s/129626/,2026-07-10
129246_增程,129246,深蓝SL03 增程版,深蓝汽车,12.99,14.69,中型车,掀背车,增程,5,,,95,2025,5,2026-06,2,https://www.16888.com/129246/,https://www.16888.com/129246/options/,https://xl.16888.com/s/129246/,2026-07-10
129246_纯电,129246,深蓝SL03 纯电版,深蓝汽车,12.99,14.69,中型车,掀背车,纯电,5,,,258,2025,5,2026-06,2,https://www.16888.com/129246/,https://www.16888.com/129246/options/,https://xl.16888.com/s/129246/,2026-07-10
130014_纯电,130014,智己LS6 纯电版,智己汽车,22.49,28.49,SUV,SUV,纯电,5,,,,2026,3661,2026-06,6,https://www.16888.com/130014/,https://www.16888.com/130014/options/,https://xl.16888.com/s/130014/,2026-07-10
130014_增程,130014,智己LS6 增程版,智己汽车,22.99,26.49,SUV,SUV,增程,5,,,155,2026,3661,2026-06,4,https://www.16888.com/130014/,https://www.16888.com/130014/options/,https://xl.16888.com/s/130014/,2026-07-10
129790_增程,129790,极狐 阿尔法T5 增程版,北汽新能源,11.38,13.18,SUV,SUV,增程,5,,,105,2026,2363,2026-06,3,https://www.16888.com/129790/,https://www.16888.com/129790/options/,https://xl.16888.com/s/129790/,2026-07-10
129790_纯电,129790,极狐 阿尔法T5 纯电版,北汽新能源,12.38,15.88,SUV,SUV,纯电,5,,,,2026,2363,2026-06,5,https://www.16888.com/129790/,https://www.16888.com/129790/options/,https://xl.16888.com/s/129790/,2026-07-10
129117_增程,129117,岚图FREE,岚图汽车,21.99,27.99,SUV,SUV,增程,5,,,150,2025,669,2026-06,5,https://www.16888.com/129117/,https://www.16888.com/129117/options/,https://xl.16888.com/s/129117/,2026-07-10
129834_纯电,129834,小鹏G6 纯电版,小鹏汽车,17.68,18.68,SUV,SUV,纯电,5,,,,2026,1915,2026-06,2,https://www.16888.com/129834/,https://www.16888.com/129834/options/,https://xl.16888.com/s/129834/,2026-07-10
129834_增程,129834,小鹏G6 增程版,小鹏汽车,18.68,18.68,SUV,SUV,增程,5,,,150,2026,1915,2026-06,1,https://www.16888.com/129834/,https://www.16888.com/129834/options/,https://xl.16888.com/s/129834/,2026-07-10
130230_增程,130230,阿维塔07 增程版,阿维塔科技,21.99,28.99,SUV,SUV,增程,5,,,156,2026,2254,2026-06,7,https://www.16888.com/130230/,https://www.16888.com/130230/options/,https://xl.16888.com/s/130230/,2026-07-10
130230_纯电,130230,阿维塔07 纯电版,阿维塔科技,22.99,27.99,SUV,SUV,纯电,5,,,,2026,2254,2026-06,4,https://www.16888.com/130230/,https://www.16888.com/130230/options/,https://xl.16888.com/s/130230/,2026-07-10
